001:  |  |  |  |  |  |  | 
002:  |  |  |  |  |  |  | 
003: NO | INDIKASI | DOSIS | PENYAJIAN | EFEK SAMPING | DESKRIPSI | HARGA | 
004: 1 | Mengatasi berbagai infeksi bakteri, seperti infeksi telinga, radang amandel (tonsilitis), bronkitis, pneumonia, infeksi saluran kemih, infeksi kulit, dan infeksi gigi. | Bayi usia <3 bulan: maksimal 30 mg/kgBB per hari, dibagi menjadi 2 kali pemberian. Anak usia >3 bulan dengan BB <40 kg: 20ΓÇô45 mg/kgBB per hari, dibagi menjadi 2ΓÇô3 kali pemberian sesuai jenis infeksi. Anak dengan BB ΓëÑ40 kg: 250ΓÇô875 mg sebanyak 2ΓÇô3 kali sehari. Dewasa dan lansia: 250ΓÇô875 mg sebanyak 2ΓÇô3 kali sehari atau sesuai anjuran dokter. Antibiotik harus dihabiskan sesuai lama terapi yang diresepkan. | 1 kapsul (500 mg) | Efek samping yang dapat muncul antara lain mual, muntah, diare, sakit perut, sakit kepala, pusing, ruam kulit, dan insomnia. Segera hentikan penggunaan dan periksakan diri ke dokter jika terjadi reaksi alergi berat, seperti sesak napas, pembengkakan pada wajah, bibir, atau tenggorokan, maupun ruam kulit yang parah. | Amoxicillin adalah antibiotik golongan penisilin yang digunakan untuk mengatasi berbagai infeksi bakteri. Obat ini bekerja dengan menghambat pembentukan dinding sel bakteri sehingga bakteri mati. Amoxicillin hanya efektif untuk infeksi bakteri dan tidak dapat digunakan untuk mengobati infeksi virus, seperti flu atau pilek | Rp 7,000 | 
005: 2 | Meredakan demam, sakit kepala, sakit gigi, nyeri otot, nyeri sendi, nyeri haid, serta nyeri ringan hingga sedang yang disertai peradangan. | Dewasa dan lansia: 1 tablet (400 mg) setiap 4ΓÇô6 jam bila diperlukan setelah makan. Maksimal 3 tablet (1.200 mg) per hari tanpa resep dokter. Anak usia ΓëÑ6 bulan: Dosis berdasarkan berat badan, yaitu 5ΓÇô10 mg/kgBB setiap 6ΓÇô8 jam sesuai anjuran dokter. | 1 tablet (400 mg) | Efek samping yang dapat terjadi antara lain mual, muntah, nyeri ulu hati, sakit perut, diare, sembelit, pusing, sakit kepala, kantuk, dan ruam kulit. Segera hentikan penggunaan dan periksakan diri ke dokter jika muncul sesak napas, muntah darah, tinja berwarna hitam, atau reaksi alergi berat. | Arfen mengandung ibuprofen yang termasuk golongan obat antiinflamasi nonsteroid (OAINS). Obat ini bekerja dengan menghambat pembentukan prostaglandin sehingga membantu meredakan nyeri, menurunkan demam, dan mengurangi peradangan. | Rp 6,000 | 
006: 3 | Mengobati infeksi virus herpes simpleks, herpes zoster (cacar ular), dan cacar air. | Anak: Sesuai berat badan dan anjuran dokter. Dewasa/Lansia: 200ΓÇô800 mg sebanyak 2ΓÇô5 kali sehari tergantung jenis infeksi. | 1 tablet (400 mg) | Mual, muntah, diare, sakit kepala, pusing, ruam kulit, dan kelelahan. | Acyclovir adalah obat antivirus yang digunakan untuk mengatasi infeksi akibat virus herpes. Obat ini bekerja dengan menghambat pertumbuhan dan penyebaran virus di dalam tubuh. | Rp 9,000 | 
007: 4 | Membantu mengontrol kadar gula darah pada penderita diabetes melitus tipe 2. | Dewasa/Lansia: 50 mg, 3 kali sehari bersama suapan pertama saat makan. Anak: Tidak dianjurkan kecuali atas petunjuk dokter. | 1 tablet (50 mg) | Acarbose adalah obat antidiabetes yang bekerja dengan memperlambat penyerapan karbohidrat di usus sehingga membantu mengendalikan kadar gula darah setelah makan. | Kembung, diare, sakit perut, mual, dan peningkatan enzim hati. | Rp 11,000 | 
008: 5 | Mengencerkan dahak pada batuk berdahak. | Anak 2ΓÇô5 tahun: 7,5 mg, 3 kali sehari. Anak 6ΓÇô12 tahun: 15 mg, 2ΓÇô3 kali sehari. Dewasa/Lansia: 30 mg, 3 kali sehari. | 1 tablet (30 mg) | Mual, muntah, diare, mulut kering, sakit perut, dan ruam kulit. | Ambroxol adalah obat mukolitik yang membantu mengencerkan dahak sehingga lebih mudah dikeluarkan saat batuk. | Rp 3,000 | 
009: 6 | Membantu memenuhi kebutuhan vitamin dan mineral tubuh. | Anak: Sesuai petunjuk kemasan. Dewasa/Lansia: 1 tablet sekali sehari setelah makan. | 1 tablet | Alvita merupakan suplemen multivitamin dan mineral yang digunakan untuk membantu memenuhi kebutuhan nutrisi harian serta menjaga daya tahan tubuh. | Mual, gangguan pencernaan ringan, sembelit, atau reaksi alergi pada sebagian orang. | Rp 7,000 | 
010: 7 | Mengatasi infeksi akibat virus herpes simpleks dan herpes zoster. | Dewasa: 200ΓÇô800 mg sesuai jenis infeksi. Anak: Sesuai berat badan dan anjuran dokter. | 1 tablet (100 mg) | Mual, muntah, diare, sakit kepala, pusing, dan ruam kulit. | Alovar mengandung acyclovir yang bekerja menghambat pertumbuhan virus herpes sehingga membantu mempercepat penyembuhan infeksi. | Rp 5,000 | 
011: 8 | Mengatasi infeksi akibat virus herpes simpleks dan herpes zoster. | Dewasa: 300ΓÇô800 mg sesuai jenis infeksi. Anak: Sesuai berat badan dan anjuran dokter. | 1 tablet (300 mg) | Mual, muntah, sakit kepala, pusing, ruam kulit, dan diare. | Alovar mengandung acyclovir yang digunakan untuk mengobati infeksi virus herpes dan bekerja dengan menghambat perkembangan virus. | Rp 9,000 | 
012: 9 | Meredakan nyeri ringan hingga sedang, termasuk nyeri haid, sakit gigi, dan nyeri otot. | Dewasa/Lansia: 1 tablet 3 kali sehari setelah makan. Anak: Sesuai anjuran dokter. | 1 tablet (500 mg) | Mual, muntah, nyeri lambung, diare, pusing, dan kantuk. | Anastan mengandung asam mefenamat yang termasuk obat antiinflamasi nonsteroid (OAINS) untuk meredakan nyeri dan peradangan. | Rp 6,000 | 
013: 10 | Mengobati tekanan darah tinggi (hipertensi) dan angina. | Anak 6ΓÇô17 tahun: 2,5ΓÇô5 mg sekali sehari. Dewasa/Lansia: 5 mg sekali sehari, dapat ditingkatkan hingga 10 mg sesuai respons. | 1 tablet (5 mg) | Sakit kepala, pusing, bengkak pada kaki, jantung berdebar, dan kelelahan. | Amlodipine adalah obat golongan calcium channel blocker yang bekerja dengan melebarkan pembuluh darah sehingga tekanan darah menurun dan aliran darah menjadi lebih lancar. | Rp 6,000 | 
